,year,month,rank,category,title,author,price,star_score,page_count,item_id
0,2020,1,1,국내도서,흔한남매 3,흔한남매,10800,9.9,0,223274669
1,2020,1,2,국내도서,지적 대화를 위한 넓고 얕은 지식 : 제로 편,채사장,20700,8.5,0,219841523
2,2020,1,3,국내도서,마도조사 4 박스판,묵향동후,16650,8.3,0,227151626
3,2020,1,4,국내도서,추리 천재 엉덩이 탐정 9,트롤,10800,9.8,0,227129549
4,2020,1,5,국내도서,에이트,이지성,17100,6.4,0,212657645
5,2020,1,6,국내도서,어느 날 공주가 되어버렸다 3 (종이 인형 책(128p) + 투명스티커 4종 + 안경닦이 + 엽서 + 박스 포함 한정판),스푼,32400,9.4,0,227693700
6,2020,1,7,국내도서,117층 나무 집,앤디 그리피스,12600,9.8,0,222102869
7,2020,1,8,국내도서,스스로 행복하라,법정,10800,7.4,0,223726675
8,2020,1,9,국내도서,설민석의 세계사 대모험 4,설민석,10800,9.6,0,226928892
9,2020,1,10,국내도서,나는 무조건 합격하는 공부만 한다,이윤규,13500,8.3,0,220642182
10,2020,1,11,국내도서,너와 함께라면 인생도 여행이다,나태주,13500,9.5,0,221601434
11,2020,1,12,국내도서,해커스 토익 기출 VOCA (보카),David Cho,11610,9.2,0,176021392
12,2020,1,13,국내도서,"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,14400,8.4,0,214116947
13,2020,1,14,국내도서,코스모스,칼 세이건,19800,9.4,0,870950
14,2020,1,15,국내도서,우리가 빛의 속도로 갈 수 없다면,김초엽,15300,8.8,0,193591681
15,2020,1,16,국내도서,마도조사 4 특별판,묵향동후,48150,9.1,0,227151653
16,2020,1,17,국내도서,배움의 발견,타라 웨스트오버,19800,9.2,0,222712341
17,2020,1,18,국내도서,나 혼자만 레벨업 2,장성락(REDICE STUDIO),13050,10.0,0,227697688
18,2020,1,19,국내도서,큰별쌤 최태성의 별★별한국사 한국사능력검정시험 고급(1.2급) 하,최태성,13050,9.7,0,193648061
19,2020,1,20,국내도서,인간을 키우는 고양이,하하하(haha ha),13500,8.9,0,223423384
20,2020,1,21,국내도서,방구석 미술관 (아티스트 하우스 에디션),조원재,15120,8.8,0,220394572
21,2020,1,22,국내도서,아내를 모자로 착각한 남자,올리버 색스,18900,8.9,0,89822465
22,2020,1,23,국내도서,해빗,웬디 우드,16200,9.2,0,222104487
23,2020,1,24,국내도서,큰별쌤 최태성의 별★별한국사 한국사능력검정시험 고급(1.2급) 상,최태성,13050,10.0,0,193648145
24,2020,1,25,국내도서,오늘도 펭수 내일도 펭수,EBS,15300,9.6,0,219573015
25,2020,1,26,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩),ETS,16020,9.2,0,220060490
26,2020,1,27,국내도서,트렌드 코리아 2020,김난도,16200,8.3,0,210946331
27,2020,1,28,국내도서,바디,빌 브라이슨,20700,8.8,0,225036850
28,2020,1,29,국내도서,선량한 차별주의자 (리커버),김지혜,13500,7.7,0,220652685
29,2020,1,30,국내도서,팩트풀니스,한스 로슬링,17820,8.8,0,184564546
30,2020,1,31,국내도서,에듀윌 한국사 능력 검정시험 2주끝장 고급,한국사기출연구회,18900,9.9,0,194151188
31,2020,1,32,국내도서,해커스 토익 RC 리딩 READING,David Cho,16920,9.9,0,220420370
32,2020,1,33,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝),ETS,16020,8.6,0,220056418
33,2020,1,34,국내도서,아주 작은 습관의 힘,제임스 클리어,14400,9.1,0,182285146
34,2020,1,35,국내도서,2020 피터래빗 다이어리,유나 편집부,6000,9.5,0,216340952
35,2020,1,36,국내도서,마도조사 1,묵향동후,12600,9.6,0,199045231
36,2020,1,37,국내도서,여행의 이유,김영하,12150,8.5,0,188276096
37,2020,1,38,국내도서,2020 에듀윌 한국사 능력 검정시험 기출문제집 고급,에듀윌 한국사교육연구소,16200,10.0,0,216756301
38,2020,1,39,국내도서,해커스 토익 LC 리스닝 LISTENING,David Cho,16920,10.0,0,220421904
39,2020,1,40,국내도서,일의 기쁨과 슬픔,장류진,12600,8.6,0,212921347
40,2020,1,41,국내도서,닥터 도티의 삶을 바꾸는 마술가게 (리커버 특별판),제임스 도티,15120,9.2,0,222529839
41,2020,1,42,국내도서,마도조사 3,묵향동후,12600,9.9,0,211727983
42,2020,1,43,국내도서,마도조사 2,묵향동후,12600,9.9,0,204003279
43,2020,1,44,국내도서,2020 시나공 정보처리기사 필기,길벗 R&D,27900,6.4,0,216473340
44,2020,1,45,국내도서,달빛천사 애장판 1,타네무라 아리나,8550,9.5,0,225770299
45,2020,1,46,국내도서,목소리를 드릴게요,정세랑,13320,9.0,0,222461169
46,2020,1,47,국내도서,달빛천사 애장판 2,타네무라 아리나,8550,10.0,0,225772243
47,2020,1,48,국내도서,어느 날 공주가 되어버렸다 3 (일반판),스푼,12600,8.8,0,227694230
48,2020,1,49,국내도서,공부머리 독서법,최승필,14850,8.9,0,141315812
49,2020,1,50,국내도서,린치핀,세스 고딘,16200,8.4,0,222133781
50,2020,2,1,국내도서,양준일 MAYBE,양준일,16200,9.7,0,230957285
51,2020,2,2,국내도서,작은 아씨들 (영화 공식 원작 소설·오리지널 커버),루이자 메이 올콧,16200,9.0,0,228995066
52,2020,2,3,국내도서,기생충 각본집 & 스토리보드북 세트 - 전2권,봉준호,33300,8.6,0,211438416
53,2020,2,4,국내도서,추리 천재 엉덩이 탐정 9,트롤,10800,9.8,0,227129549
54,2020,2,5,국내도서,청사과 낙원 시즌 1 : 1~3 세트 - 전3권,청낙원,36000,10.0,0,232496169
55,2020,2,6,국내도서,2020 선재국어 나침판 실전 모의고사 Vol.1,이선재,18900,10.0,0,231177203
56,2020,2,7,국내도서,지적 대화를 위한 넓고 얕은 지식 : 제로 편,채사장,20700,8.5,0,219841523
57,2020,2,8,국내도서,아직 멀었다는 말,권여선,13500,9.4,0,230965334
58,2020,2,9,국내도서,날씨가 좋으면 찾아가겠어요 (드라마 방영 기념 한정판),이도우,12420,9.4,0,229321278
59,2020,2,10,국내도서,해커스 토익 기출 VOCA (보카),David Cho,11610,9.2,0,176021392
60,2020,2,11,국내도서,더 위험한 과학책,랜들 먼로,22500,9.5,0,228672219
61,2020,2,12,국내도서,펭아트 #페이퍼토이북,차니(심희찬),16200,9.6,0,233423793
62,2020,2,13,국내도서,하버드 상위 1퍼센트의 비밀 (리커버 에디션),정주영,14400,8.2,0,229520957
63,2020,2,14,국내도서,흔한남매 3,흔한남매,10800,9.9,0,223274669
64,2020,2,15,국내도서,아내를 모자로 착각한 남자,올리버 색스,18900,8.9,0,89822465
65,2020,2,16,국내도서,오늘도 펭수 내일도 펭수 (꽃눈에디션 리커버),EBS,15300,9.6,0,233312933
66,2020,2,17,국내도서,우리가 빛의 속도로 갈 수 없다면,김초엽,15300,8.8,0,193591681
67,2020,2,18,국내도서,"울트라러닝, 세계 0.1%가 지식을 얻는 비밀",스콧 영,14400,7.3,0,231330516
68,2020,2,19,국내도서,하루 3줄 초등 글쓰기의 기적,윤희솔,13050,9.1,0,228780071
69,2020,2,20,국내도서,마법천자문 47,김현수,14220,9.8,0,229472453
70,2020,2,21,국내도서,"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,14400,8.4,0,214116947
71,2020,2,22,국내도서,너와 함께라면 인생도 여행이다,나태주,13500,9.5,0,221601434
72,2020,2,23,국내도서,팩트풀니스,한스 로슬링,17820,8.8,0,184564546
73,2020,2,24,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩),ETS,16020,9.2,0,220060490
74,2020,2,25,국내도서,방구석 미술관 (아티스트 하우스 에디션),조원재,15120,8.8,0,220394572
75,2020,2,26,국내도서,재무제표 모르면 주식투자 절대로 하지마라,사경인,17820,8.6,0,226929067
76,2020,2,27,국내도서,"오늘부터 딱 1년, 이기적으로 살기로 했다",샘 혼,13500,9.5,0,226648808
77,2020,2,28,국내도서,2020 이동기 영어 실전동형 모의고사 Vol.1,이동기,14400,0.0,0,231356755
78,2020,2,29,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝),ETS,16020,8.6,0,220056418
79,2020,2,30,국내도서,코스모스,칼 세이건,19800,9.4,0,870950
80,2020,2,31,국내도서,에이트,이지성,17100,6.4,0,212657645
